ID,CollectorID,Start,End,DateTimePark,Lot,OtherLot,ResidenceBerk,ResidencenonBerk,Destination,OtherDest,boating,swim,wildlifeviewing,sightseeingphoto,dining,dogwalking,charterfishing,shorelinefishing,cruise,picnic,playground,biking,walking,running,OtherUse,Freq,RareFreq,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Duration,GroupNumber,NormallyPark,Near,How,HowFar,Cancel,IdeaBike,IdeaUberLyft,IdeaMoBusStops,IdeaMoBusTrips,IdeaRealTime,IdeaShuttle,IdeaShared,IdeaPaid,IdeaValet,IdeaDriveOnly,OtherIdea,Comments,Age,RaceEthnicity,OtherRE,HispLat,Income,inclevel,inclow,inc2,parkdate,DATE,TIME,scove,ecove,skatesn,olot,de,spincir,spinway,marinb,jk,lm,sw199,swst,fg,launch,shore,southfee,south,north,area,location
114688606541,432142817,2024-09-13T17:25:28Z,2024-09-13T17:27:07Z,08/27/2024 04:00 PM,O Lot,NA,From Outside Berkeley (please specify the City/Town),O lot,Other (specify),O lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely (please specify time of year),N/A,NA,NA,NA,NA,NA,NA,NA,8+ hours,NA,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,More public parking,50-59,Black or African American alone,NA,NA,NA,NA,NA,NA,2024-08-27T11:00:00Z,2024-08-27,04:00 AM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,south,O Lot
114688605997,432142817,2024-09-13T17:24:00Z,2024-09-13T17:25:19Z,08/27/2024 03:45 PM,O Lot,NA,From Outside Berkeley (please specify the City/Town),Berkeley Marina,Other (specify),N/A,NA,NA,NA,NA,NA,dog walking,NA,NA,NA,NA,NA,NA,NA,NA,NA,Every day,NA,NA,NA,NA,NA,NA,NA,NA,8+ hours,2,Yes,Yes,I found parking quickly near my destination.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,n/a,30-39,White alone,NA,NA,NA,NA,NA,NA,2024-08-27T10:45:00Z,2024-08-27,03:45 AM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,south,O Lot
114688605035,432142817,2024-09-13T17:21:43Z,2024-09-13T17:23:48Z,08/27/2024 06:00 PM,Spinnaker Circle,NA,West of Shattuck Street,NA,Other (specify),Cezar Chavez park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,Every day,NA,NA,NA,NA,NA,NA,NA,NA,1-2 hours,Drove Alone,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prefer parking for ferry to be on the south side and loss impact to Cezar Chavez side,60-69,White alone,NA,No,NA,NA,NA,NA,2024-08-27T13:00:00Z,2024-08-27,06:00 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Circle
114688604486,432142817,2024-09-13T17:20:16Z,2024-09-13T17:21:36Z,08/27/2024 07:00 PM,Spinnaker Way,NA,West of Shattuck Street,NA,Other (specify),Marina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,running,NA,A few times a week,NA,NA,Tuesday,NA,Thursday,NA,Saturday,NA,1-2 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,4,No,Secure Bike Parking and Improved Bike Paths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,30-39,White alone,NA,No,"$150,000-$174,999","$150,000-$174,999",0,>=$75k,2024-08-27T14:00:00Z,2024-08-27,07:00 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688603725,432142817,2024-09-13T17:18:14Z,2024-09-13T17:20:05Z,08/27/2024 06:55 PM,Spinnaker Way,NA,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),N/A,NA,NA,NA,NA,NA,dog walking,NA,NA,NA,NA,NA,NA,NA,NA,Enjoying the weather,Every day,NA,NA,NA,NA,NA,NA,NA,NA,1-2 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,20,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Parking has always been easy. It will be busier with ferry,60-69,Asian alone,NA,No,"$50,000-$74,999","$50,000-$74,999",1,<$75k,2024-08-27T13:55:00Z,2024-08-27,06:55 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688603089,432142817,2024-09-13T17:16:07Z,2024-09-13T17:18:10Z,08/27/2024 06:45 PM,Spinnaker Circle,NA,From Outside Berkeley (please specify the City/Town),Zorg Beach,Other (specify),Marina,NA,NA,NA,sightseeing/photography,NA,NA,NA,NA,NA,picnicking,NA,NA,walking,NA,Sleeping in the car,Less than once a month,NA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,8+ hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,15,No,NA,NA,Additional bus stops for AC Transit,NA,NA,NA,NA,NA,NA,NA,NA,N/A,18-29,White alone,NA,No,"$0-$24,999","$0-$24,999",1,<$75k,2024-08-27T13:45:00Z,2024-08-27,06:45 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Circle
114688602353,432142817,2024-09-13T17:14:22Z,2024-09-13T17:16:01Z,08/27/2024 06:45 PM,Spinnaker Way,NA,West of Shattuck Street,NA,Other (specify),Trail,NA,NA,NA,sightseeing/photography,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,A few times a month,NA,Monday,Tuesday,Wednesday,Thursday,Friday,NA,NA,1-2 hours,1,Yes,Yes,I found parking quickly near my destination.,8,No,NA,NA,Additional bus stops for AC Transit,NA,NA,NA,NA,NA,NA,NA,NA,n/a,17 or younger,White alone,NA,No,"$175,000-$199,999","$175,000-$199,999",0,>=$75k,2024-08-27T13:45:00Z,2024-08-27,06:45 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688600992,432142817,2024-09-13T17:10:49Z,2024-09-13T17:14:10Z,08/27/2024 06:35 PM,Spinnaker Way,NA,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),Shoreline,NA,NA,NA,NA,NA,NA,NA,NA,NA,picnicking,NA,NA,NA,NA,Meet up with family,Rarely (please specify time of year),3 times a year,NA,NA,NA,NA,NA,NA,NA,1-2 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,10,No,Secure Bike Parking and Improved Bike Paths,NA,NA,NA,NA,Remote Parking with Free Shuttle Service,NA,NA,NA,NA,NA,like there is adguate park so no traffic,30-39,White alone,NA,No,"$125,000-$149,999","$125,000-$149,999",0,>=$75k,2024-08-27T13:35:00Z,2024-08-27,06:35 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688600255,432142817,2024-09-13T17:08:53Z,2024-09-13T17:10:36Z,08/27/2024 06:35 PM,Spinnaker Way,NA,East of Shattuck Street,NA,Other (specify),Cezar Chavez park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,A few times a week,NA,NA,Tuesday,NA,NA,NA,Saturday,Sunday,1-2 hours,2,Yes,Yes,I found parking quickly near my destination.,20,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,I will only drive to Waterfront,NA,Dog walk,50-59,Some Other Race alone,NA,No,"$100,000-$124,999","$100,000-$124,999",0,>=$75k,2024-08-27T13:35:00Z,2024-08-27,06:35 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688599372,432142817,2024-09-13T17:06:27Z,2024-09-13T17:08:50Z,08/27/2024 06:10 PM,Spinnaker Way,NA,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),Trail in north part,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,Every day,NA,NA,NA,NA,NA,NA,NA,NA,Less than an hour,Drove Alone,Yes,Yes,"I found a parking space near my destination, but I had to drive around to find it.",15,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,People don't follow driving rules  E.g cutting thru the circle flow to get parking spot,70 or older,White alone,NA,No,"$50,000-$74,999","$50,000-$74,999",1,<$75k,2024-08-27T13:10:00Z,2024-08-27,06:10 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688598876,432142817,2024-09-13T17:05:02Z,2024-09-13T17:06:22Z,08/27/2024 05:00 PM,Spinnaker Way,NA,West of Shattuck Street,NA,Other (specify),Marina,NA,NA,NA,NA,NA,dog walking,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times a week,NA,NA,Tuesday,NA,Thursday,NA,NA,Sunday,1-2 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,NA,No,Secure Bike Parking and Improved Bike Paths,NA,NA,NA,NA,NA,NA,NA,NA,I will only drive to Waterfront,NA,n/a,70 or older,Asian alone,NA,No,"$50,000-$74,999","$50,000-$74,999",1,<$75k,2024-08-27T12:00:00Z,2024-08-27,05:00 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688597872,432142817,2024-09-13T17:02:22Z,2024-09-13T17:04:55Z,08/27/2024 05:00 PM,H&I,NA,East of Shattuck Street,NA,Other (specify),Double tree,NA,NA,NA,sightseeing/photography,NA,dog walking,NA,NA,NA,NA,NA,NA,NA,NA,NA,Every day,NA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,8+ hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,8,No,Secure Bike Parking and Improved Bike Paths,Uber/Lyft pick up and drop off locations,Additional bus stops for AC Transit,NA,NA,NA,NA,NA,NA,NA,NA,I think parking lot near Hs lordship would me great?,18-29,Asian alone,NA,No,"$50,000-$74,999","$50,000-$74,999",1,<$75k,2024-08-27T12:00:00Z,2024-08-27,05:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,other,H&I
114688597345,432142817,2024-09-13T17:00:48Z,2024-09-13T17:02:17Z,08/27/2024 05:01 PM,Other (please specify),Biked,West of San Pablo Avenue,NA,Other (specify),N/A,sailing/boating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Every day,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,NA,NA,NA,NA,NA,No,Secure Bike Parking and Improved Bike Paths,NA,Additional bus stops for AC Transit,NA,NA,NA,NA,NA,NA,NA,NA,N/A,40-49,Other (please specify),Mexica American,Yes,"$0-$24,999","$0-$24,999",1,<$75k,2024-08-27T12:01:00Z,2024-08-27,05:01 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,other,Other (please specify)
114688596247,432142817,2024-09-13T16:57:50Z,2024-09-13T17:00:40Z,08/27/2024 04:47 PM,Marina Blvd,NA,From Outside Berkeley (please specify the City/Town),Vallejo,Other (specify),Double tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,partner works at double tree,A few times a week,NA,NA,Tuesday,Wednesday,Thursday,Friday,Saturday,NA,8+ hours,2,Yes,Yes,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,I will only drive to Waterfront,NA,I wish there are more trash can. and stands with dog waste bags,30-39,White alone,NA,No,"$0-$24,999","$0-$24,999",1,<$75k,2024-08-27T11:47:00Z,2024-08-27,04:47 AM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,other,Marina Blvd
114688595688,432142817,2024-09-13T16:56:17Z,2024-09-13T16:57:46Z,08/27/2024 04:35 PM,Spinnaker Way,NA,From Outside Berkeley (please specify the City/Town),Texas,Other (specify),Cezar Chavez park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,Rarely (please specify time of year),N/A,NA,NA,NA,NA,NA,NA,NA,2-4 hours,Drove Alone,NA,Yes,I found parking quickly near my destination.,20,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,50-59,Black or African American alone,NA,No,"$150,000-$174,999","$150,000-$174,999",0,>=$75k,2024-08-27T11:35:00Z,2024-08-27,04:35 AM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Way
114688594932,432142817,2024-09-13T16:54:21Z,2024-09-13T16:56:10Z,08/27/2024 04:30 PM,Spinnaker Circle,NA,From Outside Berkeley (please specify the City/Town),Oakland,Other (specify),Cezar Chavez park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,Visiting friend,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,1-2 hours,Drove Alone,No,Yes,I found parking quickly near my destination.,20,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shuttle from bard,NA,70 or older,White alone,NA,No,"$50,000-$74,999","$50,000-$74,999",1,<$75k,2024-08-27T11:30:00Z,2024-08-27,04:30 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Circle
114688594333,432142817,2024-09-13T16:52:47Z,2024-09-13T16:54:15Z,08/27/2024 04:15 PM,Spinnaker Circle,NA,From Outside Berkeley (please specify the City/Town),Richmond,Other (specify),Cezar Chavez park,NA,NA,NA,NA,NA,NA,NA,shoreline fishing,NA,NA,NA,NA,NA,NA,NA,Every day,NA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,4-8 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,50-59,Asian alone,NA,No,"$100,000-$124,999","$100,000-$124,999",0,>=$75k,2024-08-27T11:15:00Z,2024-08-27,04:15 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Circle
114688593436,432142817,2024-09-13T16:50:03Z,2024-09-13T16:52:44Z,08/27/2024 03:45 PM,Spinnaker Circle,NA,From Outside Berkeley (please specify the City/Town),Walnut Creek,Other (specify),Cezar Chavez park,NA,NA,NA,sightseeing/photography,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,A few times a month,NA,NA,NA,NA,NA,NA,NA,NA,2-4 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shuttle run to the waterfront,I deal to have parking easily accessible and not too much congestion.,50-59,White alone,NA,No,NA,NA,NA,NA,2024-08-27T10:45:00Z,2024-08-27,03:45 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,north,Spinnaker Circle
114688592479,432142817,2024-09-13T16:47:46Z,2024-09-13T16:49:56Z,08/28/2024 03:00 PM,South Cove West,NA,From Outside Berkeley (please specify the City/Town),SF,Other (specify),Marina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,walking,NA,NA,Rarely (please specify time of year),1-3 YEARS,NA,NA,NA,NA,NA,NA,NA,2-4 hours,Drove Alone,Yes,Yes,"I found a parking space near my destination, but I had to drive around to find it.",9,No,NA,NA,NA,NA,Real-time parking information and wayfinding,NA,NA,NA,NA,NA,NA,Thank you for allowing pubic free parking,30-39,Other (please specify),Mixed,Yes,"$125,000-$149,999","$125,000-$149,999",0,>=$75k,2024-08-28T10:00:00Z,2024-08-28,03:00 AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,south,South Cove West
114688591823,432142817,2024-09-13T16:46:15Z,2024-09-13T16:47:42Z,08/27/2024 03:30 PM,H&I,NA,West of San Pablo Avenue,NA,Other (specify),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live aboard,Every day,NA,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,4-8 hours,NA,No,No,I found parking quickly near my destination.,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,I will only drive to Waterfront,NA,N/A,60-69,White alone,NA,No,"$75,000-$99,999","$75,000-$99,999",0,>=$75k,2024-08-27T10:30:00Z,2024-08-27,03:30 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,other,H&I
114688590933,432142817,2024-09-13T16:43:48Z,2024-09-13T16:46:10Z,08/27/2024 05:45 AM,Other (please specify),West cove,East of Shattuck Street,NA,Other (specify),swimming,NA,swimming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,1-2 hours,2,Yes,Yes,I found parking quickly near my destination.,NA,No,Secure Bike Parking and Improved Bike Paths,NA,Additional bus stops for AC Transit,More frequent AC Transit bus service,NA,NA,NA,NA,NA,NA,NA,-more bike parking at Cesar Chavez   no paid parking,60-69,White alone,NA,No,"$100,000-$124,999","$100,000-$124,999",0,>=$75k,2024-08-27T12:45:00Z,2024-08-27,05:45 AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,1,0,south,South Cove West
114688589754,432142817,2024-09-13T16:40:32Z,2024-09-13T16:43:41Z,08/27/2024 05:40 PM,Other (please specify),EAST COVE,From Outside Berkeley (please specify the City/Town),Marina,Other (specify),N/A,NA,NA,NA,sightseeing/photography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,1-2 hours,Drove Alone,Yes,Yes,I found parking quickly near my destination.,5,No,Secure Bike Parking and Improved Bike Paths,Uber/Lyft pick up and drop off locations,Additional bus stops for AC Transit,More frequent AC Transit bus service,NA,NA,"Shared Mobility Services, i.e. scooters and e-bikes",NA,NA,NA,NA,+ doesn't want ferry or blevelopment,60-69,NA,NA,NA,NA,NA,NA,NA,2024-08-27T12:40:00Z,2024-08-27,05:40 AM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,1,0,south,South Cove East
114688589069,432142817,2024-09-13T16:39:30Z,2024-09-13T16:40:29Z,08/27/2024 05:15 PM,Other (please specify),N/A,From Outside Berkeley (please specify the City/Town),N/A,Other (specify),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Rarely (please specify time of year),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I found parking quickly near my destination.,NA,No,Secure Bike Parking and Improved Bike Paths,NA,Additional bus stops for AC Transit,More frequent AC Transit bus service,NA,Remote Parking with Free Shuttle Service,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-27T12:15:00Z,2024-08-27,05:15 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,other,Other (please specify)
114688588298,432142817,2024-09-13T16:37:36Z,2024-09-13T16:39:26Z,08/27/2024 05:45 PM,Other (please specify),N/A,From Outside Berkeley (please specify the City/Town),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rarely (please specify time of year),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I found parking quickly near my destination.,5,No,Secure Bike Parking and Improved Bike Paths,NA,Additional bus stops for AC Transit,More frequent AC Transit bus service,NA,NA,"Shared Mobility Services, i.e. scooters and e-bikes",NA,NA,NA,NA,no paid parking,30-39,White alone,NA,No,"$100,000-$124,999","$100,000-$124,999",0,>=$75k,2024-08-27T12:45:00Z,2024-08-27,05:45 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,other,Other (please specify)
